Country,ISO,ADM
Ghana,GHA,ADM4
Gibraltar,GIB,ADM1
Gibraltar,GIB,ADM2
Gibraltar,GIB,ADM3
Gibraltar,GIB,ADM4
Greece,GRC,ADM4
Greenland,GRL,ADM2
Greenland,GRL,ADM3
Greenland,GRL,ADM4
Grenada,GRD,ADM2
Grenada,GRD,ADM3
Grenada,GRD,ADM4
Guadeloupe,GLP,ADM1
Guadeloupe,GLP,ADM2
Guadeloupe,GLP,ADM3
Guam,GUM,ADM1
Guam,GUM,ADM3
Guam,GUM,ADM4
Guatemala,GTM,ADM3
Guatemala,GTM,ADM4
Guernsey,GGY,ADM1
Guernsey,GGY,ADM2
Guernsey,GGY,ADM3
Guernsey,GGY,ADM4
Guinea,GIN,ADM4
Guinea-Bissau,GNB,ADM3
Guinea-Bissau,GNB,ADM4
Guyana,GUY,ADM3
Guyana,GUY,ADM4
Haiti,HTI,ADM4
Heard Island and McDonald Islands,HMD,ADM0
Heard Island and McDonald Islands,HMD,ADM1
Heard Island and McDonald Islands,HMD,ADM2
Heard Island and McDonald Islands,HMD,ADM3
Heard Island and McDonald Islands,HMD,ADM4
Holy See,VAT,ADM1
Holy See,VAT,ADM2
Holy See,VAT,ADM3
Holy See,VAT,ADM4
Honduras,HND,ADM3
Honduras,HND,ADM4
Hungary,HUN,ADM4
Iceland,ISL,ADM3
Iceland,ISL,ADM4
Indonesia,IDN,ADM3
Indonesia,IDN,ADM4
Iraq,IRQ,ADM3
Iraq,IRQ,ADM4
Ireland,IRL,ADM4
Isle of Man,IMN,ADM1
Isle of Man,IMN,ADM2
Isle of Man,IMN,ADM3
Isle of Man,IMN,ADM4
Israel,ISR,ADM3
Israel,ISR,ADM4
Jamaica,JAM,ADM4
Japan,JPN,ADM3
Japan,JPN,ADM4
Jersey,JEY,ADM0
Jersey,JEY,ADM1
Jersey,JEY,ADM2
Jersey,JEY,ADM3
Jersey,JEY,ADM4
Jordan,JOR,ADM3
Jordan,JOR,ADM4
Kazakhstan,KAZ,ADM3
Kazakhstan,KAZ,ADM4
Kenya,KEN,ADM4
Kiribati,KIR,ADM3
Kiribati,KIR,ADM4
Kuwait,KWT,ADM3
Kuwait,KWT,ADM4
Kyrgyzstan,KGZ,ADM3
Kyrgyzstan,KGZ,ADM4
Lao People's Democratic Republic,LAO,ADM3
Lao People's Democratic Republic,LAO,ADM4
Latvia,LVA,ADM3
Latvia,LVA,ADM4
Lebanon,LBN,ADM3
Lebanon,LBN,ADM4
Lesotho,LSO,ADM3
Lesotho,LSO,ADM4
Liberia,LBR,ADM3
Liberia,LBR,ADM4
Libya,LBY,ADM2
Libya,LBY,ADM3
Libya,LBY,ADM4
Liechtenstein,LIE,ADM2
Liechtenstein,LIE,ADM3
Liechtenstein,LIE,ADM4
Lithuania,LTU,ADM4
Luxembourg,LUX,ADM4
Malawi,MWI,ADM4
Malaysia,MYS,ADM4
Maldives,MDV,ADM3
Maldives,MDV,ADM4
Mali,MLI,ADM4
Malta,MLT,ADM2
Malta,MLT,ADM3
Malta,MLT,ADM4
Marshall Islands,MHL,ADM2
Marshall Islands,MHL,ADM3
Marshall Islands,MHL,ADM4
Martinique,MTQ,ADM1
Martinique,MTQ,ADM2
Mauritania,MRT,ADM3
Mauritania,MRT,ADM4
Mauritius,MUS,ADM2
Mauritius,MUS,ADM3
Mauritius,MUS,ADM4
Mayotte,MYT,ADM1
Mayotte,MYT,ADM2
Mayotte,MYT,ADM3
Mexico,MEX,ADM3
Mexico,MEX,ADM4
Micronesia (Federated States of),FSM,ADM3
Micronesia (Federated States of),FSM,ADM4
Monaco,MCO,ADM3
Monaco,MCO,ADM4
Mongolia,MNG,ADM3
Mongolia,MNG,ADM4
Montenegro,MNE,ADM2
Montenegro,MNE,ADM3
Montenegro,MNE,ADM4
Montserrat,MSR,ADM1
Montserrat,MSR,ADM2
Montserrat,MSR,ADM3
Montserrat,MSR,ADM4
Morocco,MAR,ADM3
Morocco,MAR,ADM4
Mozambique,MOZ,ADM4
Myanmar,MMR,ADM4
Namibia,NAM,ADM3
Namibia,NAM,ADM4
Nauru,NRU,ADM2
Nauru,NRU,ADM3
Nauru,NRU,ADM4
Nepal,NPL,ADM4
Netherlands,NLD,ADM3
Netherlands,NLD,ADM4
New Caledonia,NCL,ADM1
New Caledonia,NCL,ADM2
New Caledonia,NCL,ADM3
